Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,99.81875,-113.50625,270.0,bottom
C11,100nF,C_0603_1608Metric,96.85625,-98.825,180.0,bottom
C12,100nF,C_0603_1608Metric,104.775,-106.3625,180.0,bottom
C13,100nF,C_0603_1608Metric,104.775,-104.775,180.0,bottom
C14,100nF,C_0603_1608Metric,96.04375,-113.50625,270.0,bottom
C15,100nF,C_0603_1608Metric,88.9,-106.3625,0.0,bottom
C16,10uF,C_0603_1608Metric,88.88125,-104.775,0.0,bottom
C2,1uF,C_0603_1608Metric,222.25,-42.8625,90.0,bottom
C3,1uF,C_0603_1608Metric,215.9,-42.8625,90.0,bottom
D1,D_Small,D_SOD-123F,44.45,-33.3375,90.0,bottom
D10,D_Small,D_SOD-123F,209.55,-33.3375,270.0,bottom
D11,D_Small,D_SOD-123F,242.09375,-33.3375,90.0,bottom
D12,D_Small,D_SOD-123F,268.2875,-33.3375,90.0,bottom
D13,D_Small,D_SOD-123F,44.45,-57.15,90.0,bottom
D14,D_Small,D_SOD-123F,68.2625,-57.15,90.0,bottom
D15,D_Small,D_SOD-123F,87.3125,-57.15,90.0,bottom
D16,D_Small,D_SOD-123F,106.3625,-57.15,90.0,bottom
D17,D_Small,D_SOD-123F,125.4125,-57.15,90.0,bottom
D18,D_Small,D_SOD-123F,144.4625,-57.15,90.0,bottom
D19,D_Small,D_SOD-123F,163.5125,-57.15,90.0,bottom
D2,D_Small,D_SOD-123F,63.5,-33.3375,90.0,bottom
D20,D_Small,D_SOD-123F,182.5625,-57.15,90.0,bottom
D21,D_Small,D_SOD-123F,201.6125,-57.15,90.0,bottom
D22,D_Small,D_SOD-123F,220.6625,-57.15,90.0,bottom
D23,D_Small,D_SOD-123F,242.09375,-57.15,90.0,bottom
D24,D_Small,D_SOD-123F,268.2875,-57.15,90.0,bottom
D25,D_Small,D_SOD-123F,44.45,-76.2,90.0,bottom
D26,D_Small,D_SOD-123F,70.64375,-76.2,90.0,bottom
D27,D_Small,D_SOD-123F,92.075,-76.2,90.0,bottom
D28,D_Small,D_SOD-123F,111.125,-76.2,90.0,bottom
D29,D_Small,D_SOD-123F,130.175,-76.2,90.0,bottom
D3,D_Small,D_SOD-123F,82.55,-33.3375,90.0,bottom
D30,D_Small,D_SOD-123F,149.225,-76.2,90.0,bottom
D31,D_Small,D_SOD-123F,168.275,-76.2,90.0,bottom
D32,D_Small,D_SOD-123F,187.325,-76.2,90.0,bottom
D33,D_Small,D_SOD-123F,206.375,-76.2,90.0,bottom
D34,D_Small,D_SOD-123F,225.425,-76.2,90.0,bottom
D35,D_Small,D_SOD-123F,244.475,-76.2,90.0,bottom
D36,D_Small,D_SOD-123F,268.2875,-76.2,90.0,bottom
D37,D_Small,D_SOD-123F,44.45,-95.25,90.0,bottom
D38,D_Small,D_SOD-123F,75.40625,-95.25,90.0,bottom
D39,D_Small,D_SOD-123F,101.6,-95.25,90.0,bottom
D4,D_Small,D_SOD-123F,101.6,-33.3375,90.0,bottom
D40,D_Small,D_SOD-123F,120.65,-95.25,90.0,bottom
D41,D_Small,D_SOD-123F,139.7,-95.25,90.0,bottom
D42,D_Small,D_SOD-123F,158.75,-95.25,90.0,bottom
D43,D_Small,D_SOD-123F,177.8,-95.25,90.0,bottom
D44,D_Small,D_SOD-123F,196.85,-95.25,90.0,bottom
D45,D_Small,D_SOD-123F,215.9,-95.25,90.0,bottom
D46,D_Small,D_SOD-123F,239.7125,-95.25,90.0,bottom
D47,D_Small,D_SOD-123F,268.2875,-95.25,90.0,bottom
D48,D_Small,D_SOD-123F,44.45,-119.0625,90.0,bottom
D49,D_Small,D_SOD-123F,65.88125,-119.0625,90.0,bottom
D5,D_Small,D_SOD-123F,120.65,-33.3375,90.0,bottom
D50,D_Small,D_SOD-123F,87.3125,-119.0625,90.0,bottom
D51,D_Small,D_SOD-123F,130.175,-119.0625,90.0,bottom
D52,D_Small,D_SOD-123F,187.325,-119.0625,90.0,bottom
D53,D_Small,D_SOD-123F,230.1875,-119.0625,90.0,bottom
D54,D_Small,D_SOD-123F,249.2375,-119.0625,90.0,bottom
D55,D_Small,D_SOD-123F,268.2875,-119.0625,90.0,bottom
D6,D_Small,D_SOD-123F,139.7,-33.3375,90.0,bottom
D7,D_Small,D_SOD-123F,158.75,-33.3375,90.0,bottom
D8,D_Small,D_SOD-123F,177.8,-33.3375,90.0,bottom
D9,D_Small,D_SOD-123F,196.85,-33.3375,90.0,bottom
D_PWR1,SMF9.0CA,D_SOD-123,223.8375,-37.30625,270.0,bottom
F1,500mA,Fuse_1206_3216Metric,226.21875,-37.30625,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,224.63125,-27.65375,180.0,bottom
R1,5k1,R_0603_1608Metric,217.4875,-26.19375,0.0,bottom
R2,5k1,R_0603_1608Metric,231.775,-26.19375,180.0,bottom
R3,10k,R_0603_1608Metric,104.775,-103.1875,0.0,bottom
SW5,SKQGABE010,SW_SPST_SKQG_WithoutStem,112.7125,-104.975,0.0,bottom
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,96.8375,-105.56875,45.0,bottom
U2,USBLC6-2SC6,SOT-23-6,229.39375,-37.30625,90.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,219.075,-42.8625,180.0,bottom
